Flybase_ID,neurite_RNA_enrich
FBgn0000042,1
FBgn0000043,1
FBgn0000053,1
FBgn0000064,1
FBgn0000100,1
FBgn0000108,1
FBgn0000108,1
FBgn0000109,1
FBgn0000147,1
FBgn0000212,1
FBgn0000261,1
FBgn0000339,1
FBgn0000477,1
FBgn0000559,1
FBgn0000562,1
FBgn0000579,1
FBgn0000659,1
FBgn0000667,1
FBgn0000996,1
FBgn0001086,1
FBgn0001098,1
FBgn0001125,1
FBgn0001139,1
FBgn0001145,1
FBgn0001170,1
FBgn0001216,1
FBgn0001218,1
FBgn0001220,1
FBgn0001247,1
FBgn0001321,1
FBgn0001330,1
FBgn0001941,1
FBgn0001961,1
FBgn0001995,1
FBgn0002121,1
FBgn0002174,1
FBgn0002719,1
FBgn0002775,1
FBgn0002989,1
FBgn0003062,1
FBgn0003067,1
FBgn0003089,1
FBgn0003090,1
FBgn0003124,1
FBgn0003189,1
FBgn0003204,1
FBgn0003206,1
FBgn0003274,1
FBgn0003278,1
FBgn0003479,1
FBgn0003514,1
FBgn0003612,1
FBgn0003721,1
FBgn0003884,1
FBgn0003885,1
FBgn0003941,1
FBgn0003963,1
FBgn0003975,1
FBgn0004003,1
FBgn0004106,1
FBgn0004117,1
FBgn0004132,1
FBgn0004374,1
FBgn0004397,1
FBgn0004406,1
FBgn0004449,1
FBgn0004573,1
FBgn0004644,1
FBgn0004648,1
FBgn0004654,1
FBgn0004687,1
FBgn0004867,1
FBgn0004885,1
FBgn0004896,1
FBgn0004901,1
FBgn0005619,1
FBgn0005674,1
FBgn0008635,1
FBgn0010173,1
FBgn0010215,1
FBgn0010265,1
FBgn0010292,1
FBgn0010391,1
FBgn0010395,1
FBgn0010398,1
FBgn0010620,1
FBgn0010620,1
FBgn0010638,1
FBgn0010762,1
FBgn0010770,1
FBgn0010786,1
FBgn0010803,1
FBgn0011016,1
FBgn0011225,1
FBgn0011244,1
FBgn0011288,1
FBgn0011297,1
FBgn0011336,1
FBgn0011570,1
FBgn0011661,1
FBgn0011692,1
FBgn0011771,1
FBgn0011818,1
FBgn0013307,1
FBgn0013308,1
FBgn0013343,1
FBgn0013954,1
FBgn0014075,1
FBgn0014127,1
FBgn0014189,1
FBgn0014396,1
FBgn0014417,1
FBgn0014455,1
FBgn0014455,1
FBgn0014861,1
FBgn0014868,1
FBgn0014906,1
FBgn0015245,1
FBgn0015296,1
FBgn0015376,1
FBgn0015546,1
FBgn0015553,1
FBgn0015622,1
FBgn0015756,1
FBgn0015770,1
FBgn0015776,1
FBgn0015777,1
FBgn0015838,1
FBgn0015926,1
FBgn0015929,1
FBgn0016031,1
FBgn0016041,1
FBgn0016687,1
FBgn0016693,1
FBgn0017558,1
FBgn0017577,1
FBgn0019686,1
FBgn0019925,1
FBgn0019938,1
FBgn0020249,1
FBgn0020299,1
FBgn0020307,1
FBgn0020312,1
FBgn0020371,1
FBgn0020371,1
FBgn0020389,1
FBgn0020392,1
FBgn0020545,1
FBgn0020618,1
FBgn0020655,1
FBgn0020660,1
FBgn0021767,1
FBgn0021795,1
FBgn0021874,1
FBgn0021944,1
FBgn0022069,1
FBgn0022160,1
FBgn0022288,1
FBgn0022359,1
FBgn0022772,1
FBgn0022774,1
FBgn0022960,1
FBgn0023081,1
FBgn0023090,1
FBgn0023129,1
FBgn0023169,1
FBgn0023212,1
FBgn0023507,1
FBgn0023524,1
FBgn0023529,1
FBgn0023530,1
FBgn0023537,1
FBgn0024289,1
FBgn0024320,1
FBgn0024509,1
FBgn0024806,1
FBgn0024846,1
FBgn0024920,1
FBgn0024947,1
FBgn0025186,1
FBgn0025456,1
FBgn0025469,1
FBgn0025615,1
FBgn0025615,1
FBgn0025624,1
FBgn0025629,1
FBgn0025678,1
FBgn0025682,1
FBgn0025684,1
FBgn0025687,1
FBgn0025700,1
FBgn0025709,1
FBgn0025724,1
FBgn0025725,1
FBgn0025740,1
FBgn0025809,1
FBgn0025885,1
FBgn0026060,1
FBgn0026061,1
FBgn0026079,1
FBgn0026143,1
FBgn0026150,1
FBgn0026238,1
FBgn0026268,1
FBgn0026371,1
FBgn0026374,1
FBgn0026409,1
FBgn0026562,1
FBgn0026565,1
FBgn0026582,1
FBgn0026630,1
FBgn0026702,1
FBgn0026777,1
FBgn0027080,1
FBgn0027085,1
FBgn0027086,1
FBgn0027088,1
FBgn0027091,1
FBgn0027094,1
FBgn0027095,1
FBgn0027287,1
FBgn0027329,1
FBgn0027330,1
FBgn0027492,1
FBgn0027496,1
FBgn0027580,1
FBgn0027582,1
FBgn0027607,1
FBgn0027611,1
FBgn0027791,1
FBgn0027844,1
FBgn0027868,1
FBgn0027903,1
FBgn0027945,1
FBgn0027949,1
FBgn0028325,1
FBgn0028327,1
FBgn0028426,1
FBgn0028427,1
FBgn0028475,1
FBgn0028480,1
FBgn0028500,1
FBgn0028531,1
FBgn0028541,1
FBgn0028546,1
FBgn0028669,1
FBgn0028670,1
FBgn0028671,1
FBgn0028717,1
FBgn0028737,1
FBgn0028894,1
FBgn0028968,1
FBgn0028969,1
FBgn0028978,1
FBgn0029093,1
FBgn0029121,1
FBgn0029155,1
FBgn0029175,1
FBgn0029176,1
FBgn0029708,1
FBgn0029722,1
FBgn0029737,1
FBgn0029818,1
FBgn0029823,1
FBgn0029848,1
FBgn0029848,1
FBgn0029849,1
FBgn0029870,1
FBgn0029881,1
FBgn0029906,1
FBgn0029941,1
FBgn0029976,1
FBgn0029997,1
FBgn0030035,1
FBgn0030073,1
FBgn0030089,1
FBgn0030122,1
FBgn0030183,1
FBgn0030268,1
FBgn0030289,1
FBgn0030321,1
FBgn0030327,1
FBgn0030329,1
FBgn0030332,1
FBgn0030377,1
FBgn0030421,1
FBgn0030435,1
