Flybase_ID,CNS_Imp_RIP_seq
FBgn0000003,1
FBgn0000008,127
FBgn0000014,1430
FBgn0000015,761
FBgn0000017,3726
FBgn0000018,57
FBgn0000022,4
FBgn0000024,4292
FBgn0000028,1805
FBgn0000032,113
FBgn0000036,10547
FBgn0000037,1279
FBgn0000038,606
FBgn0000039,482
FBgn0000042,69692
FBgn0000043,11119
FBgn0000044,102
FBgn0000045,4
FBgn0000046,81
FBgn0000047,4
FBgn0000052,234
FBgn0000053,181
FBgn0000055,0
FBgn0000056,0
FBgn0000057,277
FBgn0000061,5
FBgn0000063,181
FBgn0000064,5072
FBgn0000071,2410
FBgn0000075,6
FBgn0000077,58
FBgn0000078,2
FBgn0000079,8
FBgn0000083,1508
FBgn0000084,182
FBgn0000092,1
FBgn0000094,0
FBgn0000097,818
FBgn0000100,14313
FBgn0000108,50036
FBgn0000109,49
FBgn0000114,1165
FBgn0000115,668
FBgn0000116,10514
FBgn0000117,18292
FBgn0000119,756
FBgn0000120,2
FBgn0000121,1
FBgn0000137,421
FBgn0000139,373
FBgn0000140,400
FBgn0000146,29
FBgn0000147,254
FBgn0000150,7653
FBgn0000152,173
FBgn0000153,5
FBgn0000157,309
FBgn0000158,13
FBgn0000163,218
FBgn0000166,0
FBgn0000173,9263
FBgn0000179,9743
FBgn0000180,416
FBgn0000181,24898
FBgn0000182,0
FBgn0000183,553
FBgn0000206,3
FBgn0000212,1737
FBgn0000216,99
FBgn0000221,72
FBgn0000227,0
FBgn0000228,506
FBgn0000229,2196
FBgn0000233,108
FBgn0000239,915
FBgn0000241,8
FBgn0000244,72
FBgn0000246,59
FBgn0000247,773
FBgn0000250,1354
FBgn0000251,5
FBgn0000253,127586
FBgn0000256,172
FBgn0000257,342
FBgn0000259,20991
FBgn0000261,758
FBgn0000273,26593
FBgn0000274,1
FBgn0000276,32
FBgn0000277,2
FBgn0000278,0
FBgn0000279,14
FBgn0000280,0
FBgn0000281,0
FBgn0000283,1339
FBgn0000286,916
FBgn0000287,795
FBgn0000289,4541
FBgn0000299,726
FBgn0000303,864
FBgn0000307,1801
FBgn0000308,157174
FBgn0000316,267
FBgn0000317,81
FBgn0000318,435
FBgn0000319,3036
FBgn0000320,334
FBgn0000326,58
FBgn0000330,323
FBgn0000337,1
FBgn0000339,325
FBgn0000346,569
FBgn0000351,41
FBgn0000352,1004
FBgn0000355,0
FBgn0000356,0
FBgn0000357,7
FBgn0000358,2
FBgn0000359,2
FBgn0000360,0
FBgn0000370,2515
FBgn0000376,623
FBgn0000377,351
FBgn0000382,4773
FBgn0000384,178
FBgn0000392,0
FBgn0000394,124
FBgn0000395,422
FBgn0000404,891
FBgn0000405,1189
FBgn0000406,0
FBgn0000411,541
FBgn0000412,38803
FBgn0000414,1423
FBgn0000416,2350
FBgn0000422,127
FBgn0000426,549
FBgn0000427,3
FBgn0000439,58
FBgn0000442,3
FBgn0000447,230
FBgn0000448,206
FBgn0000449,5
FBgn0000451,21
FBgn0000454,764
FBgn0000455,244
FBgn0000459,941
FBgn0000463,1773
FBgn0000464,134
FBgn0000473,0
FBgn0000477,155
FBgn0000479,25497
FBgn0000482,275
FBgn0000489,102
FBgn0000490,197
FBgn0000492,245
FBgn0000499,1087
FBgn0000500,52
FBgn0000504,66
FBgn0000520,191
FBgn0000524,811
FBgn0000527,144
FBgn0000529,135
FBgn0000533,10
FBgn0000535,566
FBgn0000536,393
FBgn0000541,2922
FBgn0000542,130
FBgn0000543,411
FBgn0000546,2534
FBgn0000547,7932
FBgn0000551,1
FBgn0000552,3
FBgn0000557,129675
FBgn0000559,22868
FBgn0000560,11
FBgn0000562,257
FBgn0000564,73
FBgn0000565,255
FBgn0000566,375
FBgn0000567,6038
FBgn0000568,15744
FBgn0000575,8223
FBgn0000576,35
FBgn0000577,89
FBgn0000578,3771
FBgn0000579,3253
FBgn0000581,2772
FBgn0000588,201
FBgn0000591,374
FBgn0000592,2
FBgn0000594,1
FBgn0000606,73
FBgn0000611,3483
FBgn0000615,9
FBgn0000617,179
FBgn0000618,167
FBgn0000625,11
FBgn0000629,317
FBgn0000633,2998
FBgn0000635,4477
FBgn0000636,3820
FBgn0000639,22
FBgn0000640,0
FBgn0000644,41
FBgn0000658,240
FBgn0000659,2549
FBgn0000662,893
FBgn0000667,3196
FBgn0000709,438
FBgn0000711,740
FBgn0000715,201
FBgn0000719,943
FBgn0000721,258
FBgn0000723,637
FBgn0000808,22
FBgn0000810,468
FBgn0000826,4
FBgn0000927,3
FBgn0000928,5
FBgn0000964,132
FBgn0000996,452
FBgn0001075,130
FBgn0001077,1
FBgn0001078,173
FBgn0001079,137
FBgn0001083,49
FBgn0001084,118
FBgn0001085,531
FBgn0001086,276
FBgn0001087,1289
FBgn0001089,116
FBgn0001090,5665
FBgn0001091,1066
FBgn0001092,2493
FBgn0001098,1701
FBgn0001099,9
FBgn0001104,751
FBgn0001105,46395
FBgn0001108,434
FBgn0001112,6
FBgn0001114,15
FBgn0001120,12
FBgn0001122,24768
FBgn0001123,595
FBgn0001124,548
FBgn0001125,225
FBgn0001128,293
FBgn0001133,238
FBgn0001134,15
FBgn0001137,6
FBgn0001138,680
FBgn0001139,5825
FBgn0001142,351
FBgn0001145,1673
FBgn0001147,42
FBgn0001148,16
FBgn0001149,1033
FBgn0001150,18
FBgn0001168,310
FBgn0001169,1387
FBgn0001170,1
FBgn0001174,2
FBgn0001179,269
FBgn0001180,60
FBgn0001185,362
FBgn0001186,1687
FBgn0001187,0
FBgn0001189,427
FBgn0001197,14838
FBgn0001202,428
FBgn0001206,776
FBgn0001208,3
FBgn0001215,13716
FBgn0001216,3
FBgn0001217,3
FBgn0001218,15655
FBgn0001220,1120
FBgn0001222,371
FBgn0001223,0
FBgn0001224,13286
FBgn0001225,2007
FBgn0001226,12655
FBgn0001227,3436
FBgn0001228,0
FBgn0001229,1152
FBgn0001230,1554
FBgn0001233,11043
FBgn0001234,1177
FBgn0001235,57264
FBgn0001247,582
FBgn0001248,4651
FBgn0001250,216
FBgn0001253,6753
FBgn0001254,345
FBgn0001255,24
FBgn0001256,5
FBgn0001257,2682
FBgn0001258,279
FBgn0001259,9
FBgn0001263,11
FBgn0001269,102
FBgn0001276,234
FBgn0001280,459
FBgn0001281,1
FBgn0001285,2
FBgn0001291,574
FBgn0001296,621
FBgn0001297,2164
FBgn0001301,655
FBgn0001308,2170
FBgn0001311,51
FBgn0001313,6
FBgn0001316,2161
FBgn0001319,1189
FBgn0001320,19
FBgn0001321,11
FBgn0001323,28
FBgn0001324,777
FBgn0001325,135
FBgn0001330,70
FBgn0001341,153
FBgn0001404,6587
FBgn0001491,274
FBgn0001565,537
FBgn0001612,135
FBgn0001624,4840
FBgn0001941,628
FBgn0001942,26035
FBgn0001961,2763
FBgn0001965,920
FBgn0001967,0
FBgn0001970,231
FBgn0001974,97
FBgn0001977,680
FBgn0001978,609
FBgn0001981,324
FBgn0001983,664
FBgn0001986,228
FBgn0001987,130
FBgn0001989,430
FBgn0001990,130
FBgn0001991,502
FBgn0001992,0
FBgn0001994,20108
FBgn0001995,135
FBgn0002021,118
FBgn0002022,364
FBgn0002023,1096
FBgn0002031,1254
FBgn0002036,146
FBgn0002044,1415
FBgn0002069,917
FBgn0002121,645
FBgn0002174,271
FBgn0002183,1279
FBgn0002283,1103
FBgn0002284,912
FBgn0002306,41
FBgn0002354,51
FBgn0002413,2337
FBgn0002431,1004
FBgn0002440,2
FBgn0002441,616
FBgn0002466,382
FBgn0002521,1245
FBgn0002522,27
FBgn0002524,303
FBgn0002525,20590
FBgn0002526,520
FBgn0002531,49
FBgn0002533,30
FBgn0002534,24
FBgn0002535,195
FBgn0002542,181
FBgn0002543,839
FBgn0002552,463
FBgn0002561,53
FBgn0002562,5
FBgn0002563,20
FBgn0002564,13
FBgn0002565,49
FBgn0002566,428
FBgn0002567,30
FBgn0002569,0
FBgn0002570,0
FBgn0002571,1
FBgn0002573,2
FBgn0002576,16
FBgn0002577,1
FBgn0002578,8
FBgn0002579,7293
FBgn0002590,11651
FBgn0002592,186
FBgn0002593,8988
