Flybase_ID,brain_RNAseq,brain_Syp_RIP_seq
FBgn0000003,140,36.66666667
FBgn0000008,349.6666667,174
FBgn0000014,1332.333333,1797.333333
FBgn0000015,302,667.6666667
FBgn0000017,11628.66667,11063
FBgn0000018,135.3333333,64
FBgn0000022,8.666666667,5.666666667
FBgn0000024,6908.666667,4542
FBgn0000028,704,1974.666667
FBgn0000032,285.3333333,159.3333333
FBgn0000036,4551.333333,9299.666667
FBgn0000037,1487.666667,1061.333333
FBgn0000038,1378.666667,1015
FBgn0000039,1305.666667,554
FBgn0000042,84454.33333,64059.66667
FBgn0000043,9185.333333,11793
FBgn0000044,170.3333333,493.3333333
FBgn0000045,4.666666667,2.333333333
FBgn0000046,60.66666667,214.6666667
FBgn0000047,14.66666667,8
FBgn0000052,873.6666667,411
FBgn0000053,831,439.6666667
FBgn0000055,0,0.333333333
FBgn0000056,0,0
FBgn0000057,516.3333333,329
FBgn0000061,9.666666667,8.333333333
FBgn0000063,312.3333333,287
FBgn0000064,3747.666667,5073.333333
FBgn0000071,3655,1536.666667
FBgn0000075,32,17.33333333
FBgn0000077,112.6666667,57
FBgn0000078,0,1.666666667
FBgn0000079,0.666666667,2
FBgn0000083,2350.666667,1854.333333
FBgn0000084,626,389.6666667
FBgn0000092,33,22.33333333
FBgn0000094,10.33333333,18.66666667
FBgn0000097,1942.666667,2501.333333
FBgn0000100,11422.33333,9551.666667
FBgn0000108,26173.66667,20497
FBgn0000109,80.33333333,64.33333333
FBgn0000114,1633.666667,1928.666667
FBgn0000115,711.6666667,632.3333333
FBgn0000116,16748,16914
FBgn0000117,13111.66667,6090.333333
FBgn0000119,2390.333333,1235.333333
FBgn0000120,0,0.666666667
FBgn0000121,2.333333333,1
FBgn0000137,687,702.3333333
FBgn0000139,731.6666667,533.6666667
FBgn0000140,1912.333333,829.3333333
FBgn0000146,54.66666667,22.66666667
FBgn0000147,208.3333333,271.6666667
FBgn0000150,5584.666667,4448
FBgn0000152,448.6666667,289.3333333
FBgn0000153,29.66666667,46
FBgn0000157,457.3333333,581
FBgn0000158,14.33333333,12.33333333
FBgn0000163,1779.666667,2166.666667
FBgn0000166,1.333333333,0.333333333
FBgn0000173,3143,8873.666667
FBgn0000179,4074.333333,9165.666667
FBgn0000180,754.6666667,382.3333333
FBgn0000181,9536.666667,11972.33333
FBgn0000182,0,0
FBgn0000183,1976,1705
FBgn0000206,8,2
FBgn0000212,7294.333333,3651.666667
FBgn0000216,59.66666667,76.66666667
FBgn0000221,97.66666667,47
FBgn0000227,0,0.333333333
FBgn0000228,1646,1117
FBgn0000229,1919.333333,1761.666667
FBgn0000233,122.3333333,120.6666667
FBgn0000239,2046.333333,1309
FBgn0000241,10.66666667,8.333333333
FBgn0000244,330.3333333,229.3333333
FBgn0000246,177.3333333,143
FBgn0000247,2499,1067.333333
FBgn0000250,1274.666667,1387.333333
FBgn0000251,11.33333333,6.666666667
FBgn0000253,28423.66667,69074.33333
FBgn0000256,684.3333333,603
FBgn0000257,677.6666667,391.3333333
FBgn0000259,5463,13438.66667
FBgn0000261,1165,2067
FBgn0000273,9710.666667,24492.33333
FBgn0000274,2.333333333,2.666666667
FBgn0000276,2,1.333333333
FBgn0000277,1.666666667,3.333333333
FBgn0000278,0.666666667,0
FBgn0000279,0,3.333333333
FBgn0000280,0,0.333333333
FBgn0000281,0,0.333333333
FBgn0000283,7242.333333,4079
FBgn0000286,1039,2212.333333
FBgn0000287,1916.666667,2110.333333
FBgn0000289,7983.333333,8043.333333
FBgn0000299,909.3333333,658
FBgn0000303,1413.333333,1650.666667
FBgn0000307,5064.666667,6182.333333
FBgn0000308,24750,71985.33333
FBgn0000316,1191,447
FBgn0000317,549.6666667,228.6666667
FBgn0000318,366.6666667,332
FBgn0000319,9936,4446
FBgn0000320,674,469.3333333
FBgn0000326,240.6666667,99
FBgn0000330,328,222.3333333
FBgn0000337,11.33333333,3
FBgn0000339,338.3333333,248
FBgn0000346,1217.666667,729.6666667
FBgn0000351,88.33333333,48
FBgn0000352,1696.666667,961.3333333
FBgn0000355,0.666666667,0
FBgn0000356,0.666666667,0
FBgn0000357,7.333333333,5
FBgn0000358,0,0.666666667
FBgn0000359,0,0.666666667
FBgn0000360,0.333333333,1
FBgn0000370,1470.666667,2194
FBgn0000376,836.3333333,524
FBgn0000377,925.3333333,569.6666667
FBgn0000382,5455,9686.666667
FBgn0000384,931.6666667,543.3333333
FBgn0000392,0,0
FBgn0000394,244,195
FBgn0000395,509.3333333,306
FBgn0000404,3417,1621.333333
FBgn0000405,2020,2077
FBgn0000406,2,1.666666667
FBgn0000411,662.6666667,438
FBgn0000412,8590.333333,14970.66667
FBgn0000414,6860.333333,3683
FBgn0000416,6053.333333,2474.666667
FBgn0000422,545.6666667,684
FBgn0000426,652,520.3333333
FBgn0000427,1.333333333,3
FBgn0000439,70.33333333,60.66666667
FBgn0000442,19.33333333,9
FBgn0000447,542.3333333,361.3333333
FBgn0000448,55,117.3333333
FBgn0000449,82.66666667,32.66666667
FBgn0000451,35.33333333,39.33333333
FBgn0000454,876.3333333,533
FBgn0000455,523.6666667,288.6666667
FBgn0000459,335,914.3333333
FBgn0000463,1227,2039
FBgn0000464,567.6666667,370.6666667
FBgn0000473,34,14.33333333
FBgn0000477,529.3333333,145.3333333
FBgn0000479,6912.666667,19885.33333
FBgn0000482,762,288.6666667
FBgn0000489,92.66666667,198.6666667
FBgn0000490,171.3333333,189
FBgn0000492,316.3333333,467.3333333
FBgn0000499,2148.666667,1701.666667
FBgn0000500,77,51.33333333
FBgn0000504,195.6666667,176.6666667
FBgn0000520,473.6666667,349.3333333
FBgn0000524,915,610.6666667
FBgn0000527,288,235.6666667
FBgn0000529,184,151
FBgn0000533,7.333333333,10.66666667
FBgn0000535,1306,1147.666667
FBgn0000536,1100,829.6666667
FBgn0000541,14364,8447.666667
FBgn0000542,730,553.3333333
FBgn0000543,934,477
FBgn0000546,6118.333333,14513
FBgn0000547,5361.666667,6052
FBgn0000551,15,13.33333333
FBgn0000552,2,2.666666667
FBgn0000557,34529.66667,32991.66667
FBgn0000559,26909,19489
FBgn0000560,17.33333333,38
FBgn0000562,741.3333333,401.3333333
FBgn0000564,95.33333333,39
FBgn0000565,557.3333333,325
FBgn0000566,667.6666667,448.6666667
FBgn0000567,7335,6691.666667
FBgn0000568,20648,40599.33333
FBgn0000575,4695.333333,6939.333333
FBgn0000576,51,65
FBgn0000577,95,86.33333333
FBgn0000578,5918.333333,7004
FBgn0000579,5463.666667,3508.666667
FBgn0000581,10205.33333,7816.666667
FBgn0000588,331.3333333,195
FBgn0000591,242,340.6666667
FBgn0000592,1.666666667,1.333333333
FBgn0000594,1,0.666666667
FBgn0000606,15.66666667,28
FBgn0000611,4409,4629.333333
FBgn0000615,19,10.33333333
FBgn0000617,529.6666667,250.3333333
FBgn0000618,285.6666667,263.3333333
FBgn0000625,23.33333333,66.66666667
FBgn0000629,1393,610
FBgn0000633,3450.333333,2251.333333
FBgn0000635,5313.666667,4475.666667
FBgn0000636,1980,2396.666667
FBgn0000639,488,295.3333333
FBgn0000640,51.33333333,41.66666667
FBgn0000644,37,30.33333333
FBgn0000658,408,523.6666667
FBgn0000659,1496.333333,2746.333333
FBgn0000662,2614.666667,2294
FBgn0000667,4285.666667,2742.666667
FBgn0000709,1618.333333,1110
FBgn0000711,1022.666667,1904.666667
FBgn0000715,304,103.3333333
FBgn0000719,1043.666667,1626.333333
FBgn0000721,938.3333333,751
FBgn0000723,2485,1504
FBgn0000808,177,58
FBgn0000810,629.6666667,470
FBgn0000826,16.66666667,6.666666667
FBgn0000927,1.333333333,0.666666667
FBgn0000928,10.33333333,7
FBgn0000964,156.3333333,193
FBgn0000996,983.6666667,542.3333333
FBgn0001075,2150,791.3333333
FBgn0001077,1.333333333,2.333333333
FBgn0001078,525.6666667,807.6666667
FBgn0001079,414.6666667,150.6666667
FBgn0001083,253.6666667,100.3333333
FBgn0001084,194.6666667,145
FBgn0001085,1548,1452
FBgn0001086,452,287.6666667
FBgn0001087,2807,2211.666667
FBgn0001089,481.3333333,103
FBgn0001090,2215.333333,1781.666667
FBgn0001091,1759.666667,830.6666667
FBgn0001092,4869,2005
FBgn0001098,1760.333333,1279
FBgn0001099,19.66666667,18.66666667
FBgn0001104,2096,1535
FBgn0001105,21114,50752
FBgn0001108,1739.333333,760.3333333
FBgn0001112,7.333333333,9
FBgn0001114,350.3333333,87.66666667
FBgn0001120,2,2
FBgn0001122,11439.66667,18709.66667
FBgn0001123,2557,1175.666667
FBgn0001124,1236.333333,1025.333333
FBgn0001125,495.6666667,265.6666667
FBgn0001128,576,345.3333333
FBgn0001133,601,266.3333333
FBgn0001134,8.333333333,15
FBgn0001137,9.333333333,8.666666667
FBgn0001138,608,1203.333333
FBgn0001139,8065,12300.33333
FBgn0001142,1210,969
FBgn0001145,783.6666667,1674.333333
FBgn0001147,49.66666667,50.66666667
FBgn0001148,28.33333333,25.33333333
FBgn0001149,1139.666667,1102.666667
FBgn0001150,43.33333333,33.66666667
FBgn0001168,242.3333333,672.3333333
FBgn0001169,2764,4973.666667
FBgn0001170,1.666666667,0.666666667
FBgn0001174,6,2.333333333
FBgn0001179,964,346.6666667
FBgn0001180,62,106
FBgn0001185,732,1042.333333
FBgn0001186,2172.333333,3966
FBgn0001187,1.333333333,0.333333333
FBgn0001189,459,344.6666667
FBgn0001197,4645.666667,7837.333333
FBgn0001202,1240.666667,529.6666667
FBgn0001206,976.3333333,614.6666667
FBgn0001208,5.666666667,0.666666667
FBgn0001215,12741.33333,17446
FBgn0001216,0.333333333,4.333333333
FBgn0001217,223.6666667,258.6666667
FBgn0001218,11517.66667,9247.333333
FBgn0001220,2953.333333,1655.666667
FBgn0001222,1825.666667,661.6666667
FBgn0001223,0,0
FBgn0001224,22534.33333,7828.333333
FBgn0001225,4010.333333,2100.333333
FBgn0001226,30642.33333,31714.33333
FBgn0001227,8610.666667,5339.666667
FBgn0001228,0,0
FBgn0001229,2500,2248.333333
FBgn0001230,1918,1861
FBgn0001233,35461,11723.66667
FBgn0001234,8690.333333,12403
FBgn0001235,10514,30259
FBgn0001247,2720,1208.333333
FBgn0001248,2737,3474.333333
FBgn0001250,858,678.6666667
FBgn0001253,3922.333333,5627
FBgn0001254,1009,340.3333333
FBgn0001255,170,75
FBgn0001256,2.333333333,8
FBgn0001257,1049.333333,1214.666667
FBgn0001258,329.3333333,332.6666667
FBgn0001259,55.33333333,32.66666667
FBgn0001263,23.33333333,15
FBgn0001269,184.6666667,132.6666667
FBgn0001276,168.6666667,149
FBgn0001280,339.6666667,330.6666667
FBgn0001281,5,1.333333333
FBgn0001285,1,1
FBgn0001291,979,869
FBgn0001296,780.6666667,438.6666667
FBgn0001297,1738,2858.666667
FBgn0001301,1844.333333,1033.333333
FBgn0001308,4423.333333,2846.666667
FBgn0001311,469,173.6666667
FBgn0001313,3,4
FBgn0001316,11624,6207
FBgn0001319,1203.666667,1659
FBgn0001320,24.66666667,84.66666667
FBgn0001321,74,45
FBgn0001323,37,77.66666667
FBgn0001324,3828,1597.666667
FBgn0001325,183.6666667,363.6666667
FBgn0001330,409.3333333,196.3333333
FBgn0001341,676,266.3333333
FBgn0001404,3009,3820
FBgn0001491,348.6666667,212.3333333
FBgn0001565,916.6666667,511
FBgn0001612,620.3333333,247.6666667
FBgn0001624,7960.666667,10785
FBgn0001941,972,527.3333333
FBgn0001942,23596.33333,20792.33333
FBgn0001961,1772.333333,2031.333333
FBgn0001965,3261.333333,1484
FBgn0001967,17.33333333,11.66666667
FBgn0001970,330,174
FBgn0001974,417.6666667,329.6666667
FBgn0001977,806.6666667,435.6666667
FBgn0001978,1603,1210.333333
FBgn0001981,438.6666667,392.3333333
FBgn0001983,882.6666667,822.3333333
FBgn0001986,778,385.3333333
FBgn0001987,556.3333333,326
FBgn0001989,519,549
FBgn0001990,368.3333333,190.3333333
FBgn0001991,2609.333333,1332.333333
FBgn0001992,2,0.666666667
FBgn0001994,9558.666667,17161.66667
FBgn0001995,272.3333333,155
FBgn0002021,352.6666667,336
FBgn0002022,591.3333333,327.6666667
FBgn0002023,1196.666667,1624.333333
FBgn0002031,762.3333333,590
FBgn0002036,134.3333333,138
FBgn0002044,2896.666667,2585.666667
FBgn0002069,1532,939.6666667
FBgn0002121,3446,2289
FBgn0002174,1032.666667,701.6666667
FBgn0002183,5719.333333,1920.333333
FBgn0002283,525,390.3333333
FBgn0002284,733.3333333,393.3333333
FBgn0002306,443.3333333,142.3333333
FBgn0002354,30.33333333,23
FBgn0002413,5653.666667,7142
FBgn0002431,8338.666667,3117.666667
FBgn0002440,2.333333333,1
FBgn0002441,1265,1078.666667
FBgn0002466,3492.333333,1510
FBgn0002521,1855.333333,2500.333333
FBgn0002522,28.66666667,33.33333333
FBgn0002524,1096,380.3333333
FBgn0002525,8506.666667,9333.666667
FBgn0002526,2039.333333,1667.333333
FBgn0002531,3.666666667,13.33333333
FBgn0002533,1.333333333,3
FBgn0002534,24,12.66666667
FBgn0002535,14.33333333,11.66666667
FBgn0002542,826.6666667,387
FBgn0002543,3407,2043.666667
FBgn0002552,851,468.6666667
FBgn0002561,40,60.33333333
FBgn0002562,249,58
FBgn0002563,510.3333333,208.3333333
FBgn0002564,276.3333333,136
FBgn0002565,673,198.6666667
FBgn0002566,1824.333333,827
FBgn0002567,89,62.66666667
FBgn0002569,0.666666667,0.666666667
FBgn0002570,0.333333333,0.333333333
FBgn0002571,1,1.333333333
FBgn0002573,13.66666667,17.33333333
FBgn0002576,75.33333333,89.33333333
FBgn0002577,9,15
FBgn0002578,8,10.66666667
FBgn0002579,7806.666667,6482.333333
FBgn0002590,8670.333333,7840
FBgn0002592,147.6666667,95.33333333
FBgn0002593,9368.666667,6908.666667
FBgn0002609,288.3333333,445
FBgn0002622,9149.333333,8397.666667
FBgn0002626,2682.666667,1669.333333
FBgn0002629,146.3333333,217.3333333
FBgn0002631,118.3333333,166.6666667
FBgn0002632,282,301.3333333
FBgn0002633,235.3333333,322
FBgn0002638,1847.666667,909
FBgn0002641,283.3333333,140.6666667
FBgn0002643,12195,22788.33333
FBgn0002645,7320.666667,10182.33333
FBgn0002673,113,113
FBgn0002707,753.6666667,244.3333333
FBgn0002709,18.66666667,21.66666667
FBgn0002715,419,232.6666667
FBgn0002716,164.6666667,92.33333333
FBgn0002719,2373.666667,1229.666667
FBgn0002723,838,1687
FBgn0002732,128.6666667,225.6666667
FBgn0002733,565,513
FBgn0002734,67.66666667,93
FBgn0002735,343,543
FBgn0002736,754,594.3333333
FBgn0002772,26.33333333,89
FBgn0002773,35.66666667,40
FBgn0002774,3213.333333,2145
FBgn0002775,267.6666667,132.3333333
FBgn0002778,1360,1004
FBgn0002780,2334,1031.333333
FBgn0002781,10555,7264.333333
FBgn0002783,6828.666667,3374.333333
FBgn0002787,3444.333333,2589.333333
FBgn0002789,47.33333333,81.66666667
FBgn0002791,884.3333333,313
FBgn0002838,0,0.333333333
FBgn0002842,1.666666667,0
FBgn0002855,0,0.333333333
FBgn0002856,0,0
FBgn0002862,1.666666667,1.666666667
FBgn0002863,2.333333333,2.333333333
FBgn0002865,0,0
FBgn0002868,348.3333333,327.6666667
FBgn0002869,0.666666667,0.333333333
FBgn0002872,1068,388
FBgn0002873,2675.333333,1430.666667
FBgn0002878,815,476.3333333
FBgn0002887,771.3333333,557
